Date,Time,Category,Item,Qty,Product Sales,Discounts,Net Sales,Itemization Type
31/07/2024,21:21:44,None,Custom Amount,-1,-$454.55,$0.00,-$454.55,
31/07/2024,21:19:24,None,Custom Amount,1,$454.55,$0.00,$454.55,
31/07/2024,20:29:33,None,Gloss Varnish,1,$4.55,$0.00,$4.55,Service
31/07/2024,19:20:19,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
31/07/2024,18:57:02,None,Angel - Small,1,$31.77,$0.00,$31.77,Physical Good
31/07/2024,18:55:06,None,Angel - Small,1,$31.77,$0.00,$31.77,Physical Good
31/07/2024,18:38:09,Beverages,Water - Bottle,1,$2.73,$0.00,$2.73,Physical Good
31/07/2024,17:58:11,None,Ducky - Star,1,$40.91,$0.00,$40.91,Physical Good
31/07/2024,17:52:20,Couple,Couple - Banana,1,$49.92,$0.00,$49.92,Physical Good
31/07/2024,17:52:20,Beverages,Soft Drink - Can,1,$2.72,$0.00,$2.72,Physical Good
31/07/2024,17:32:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
31/07/2024,15:34:01,None,Amelia Britchford's Booking this Saturday 3/08.,1,$25.00,$0.00,$25.00,
31/07/2024,15:29:16,Skull Panda,Skull Panda 4,1,$40.91,$0.00,$40.91,Physical Good
31/07/2024,14:56:13,None,Lion - Large,1,$36.86,-$6.00,$30.86,Physical Good
31/07/2024,14:56:13,Beverages,Drink - Banana Milk,1,$3.40,$0.00,$3.40,Physical Good
31/07/2024,14:34:02,None,Elephant,1,$32.25,-$5.25,$27.00,Physical Good
31/07/2024,14:34:02,None,Ltd Ed - Bear Strawberry,1,$41.47,-$6.75,$34.72,Physical Good
31/07/2024,13:44:00,None,Elephant,1,$32.25,-$5.25,$27.00,Physical Good
31/07/2024,13:44:00,None,Fox Nine Tailed - Large,1,$50.68,-$8.25,$42.43,Physical Good
31/07/2024,13:44:00,None,Rabbit - Beanie 1,1,$36.86,-$6.00,$30.86,Physical Good
31/07/2024,12:01:15,None,Cat Lady - Bottle,1,$36.86,-$6.00,$30.86,Physical Good
31/07/2024,12:01:15,None,doreamon batman,1,$46.07,-$7.50,$38.57,Physical Good
30/07/2024,21:51:04,None,Take-home kit,1,$2.72,$0.00,$2.72,Physical Good
30/07/2024,21:00:58,None,Dora,1,$36.31,$0.00,$36.31,Physical Good
30/07/2024,19:46:46,None,Cute Dragon,1,$36.30,$0.00,$36.30,Physical Good
30/07/2024,19:46:46,None,Baby Dragon,1,$36.31,$0.00,$36.31,Physical Good
30/07/2024,18:10:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,18:10:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,17:33:59,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,17:31:03,None,Skull Panda - Rabbit Trainer,1,$45.38,$0.00,$45.38,Physical Good
30/07/2024,17:31:03,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,17:30:29,None,Fox Nine Tailed - Large,1,$49.92,$0.00,$49.92,Physical Good
30/07/2024,17:30:29,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,17:29:42,None,Cute Dragon,1,$36.30,$0.00,$36.30,Physical Good
30/07/2024,17:29:42,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,17:29:15,None,Dino - Disco,1,$40.84,$0.00,$40.84,Physical Good
30/07/2024,17:29:15,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,15:39:06,Couple,Couple - Avo Duck,1,$49.92,$0.00,$49.92,Physical Good
30/07/2024,15:39:06,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,15:07:17,None,Custom Amount,1,$46.07,-$7.50,$38.57,
30/07/2024,15:04:44,None,Kaws,1,$46.07,-$7.50,$38.57,Physical Good
30/07/2024,15:04:08,None,Custom Amount,1,$36.86,-$6.00,$30.86,
30/07/2024,14:50:21,Couple,Couple - Avo Duck,1,$50.68,-$8.25,$42.43,Physical Good
30/07/2024,14:50:21,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,14:13:04,Beverages,Drink - Red Bull,1,$4.63,-$1.00,$3.63,Physical Good
30/07/2024,13:55:28,None,Angel - Small,1,$33.09,-$14.29,$18.80,Physical Good
30/07/2024,13:55:28,None,Kaws,1,$47.26,-$20.42,$26.84,Physical Good
30/07/2024,13:55:28,None,Gloss Varnish,1,$4.68,-$1.52,$3.16,Service
30/07/2024,13:55:28,None,Gloss Varnish,1,$4.68,-$1.52,$3.16,Service
30/07/2024,13:52:47,Skull Panda,Skull Panda 4,1,$41.47,-$6.75,$34.72,Physical Good
30/07/2024,13:52:47,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,13:47:54,None,Jerry - Disney Cheesy Mouse,1,$36.86,-$6.00,$30.86,Physical Good
30/07/2024,13:31:59,None,Puppy - Glasses,1,$36.86,-$6.00,$30.86,Physical Good
30/07/2024,13:28:11,Beverages,Tea - Lipton,2,$9.09,$0.00,$9.09,Physical Good
30/07/2024,13:25:11,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,13:25:11,Skull Panda,Skull Panda 4,1,$41.47,-$6.75,$34.72,Physical Good
30/07/2024,13:16:25,None,Angel - Small,1,$32.29,-$5.25,$27.04,Physical Good
30/07/2024,13:16:25,Kuromi,Kuromi - With Hat,1,$41.52,-$6.75,$34.77,Physical Good
30/07/2024,13:16:25,None,Grandpa,1,$36.91,-$6.00,$30.91,Physical Good
30/07/2024,13:16:25,None,Gloss Varnish,1,$4.55,$0.00,$4.55,Service
30/07/2024,13:16:25,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
30/07/2024,13:16:25,None,Gloss Varnish,1,$4.55,$0.00,$4.55,Service
29/07/2024,18:38:58,None,Rabbit - Strawberry Bag,1,$31.77,$0.00,$31.77,Physical Good
29/07/2024,18:38:42,None,Puppy - Glasses,1,$36.31,$0.00,$36.31,Physical Good
29/07/2024,18:36:14,None,Dino - Small,1,$36.36,$0.00,$36.36,Physical Good
29/07/2024,18:01:59,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
29/07/2024,16:03:48,None,Baby Dragon,1,$36.31,$0.00,$36.31,Physical Good
29/07/2024,14:58:55,None,Luffy,1,$43.35,-$27.20,$16.15,Physical Good
29/07/2024,14:58:55,None,Custom Amount,1,$62.63,-$39.30,$23.33,
29/07/2024,14:42:51,None,Teddy With Tote,1,$36.91,-$6.00,$30.91,Physical Good
29/07/2024,14:34:21,None,Skull Panda - Rabbit Trainer,1,$46.07,-$7.50,$38.57,Physical Good
29/07/2024,14:33:46,Skull Panda,Skull Panda 5,1,$41.47,-$6.75,$34.72,Physical Good
29/07/2024,14:21:47,Couple,Couple - Tomato,1,$50.68,-$8.25,$42.43,Physical Good
29/07/2024,13:50:46,Skull Panda,Skull Panda 3,1,$41.47,-$6.75,$34.72,Physical Good
29/07/2024,13:13:10,None,Dino - Disco,1,$41.47,-$6.75,$34.72,Physical Good
28/07/2024,22:43:53,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,22:43:53,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,20:26:41,Piggy,Piggy - Watermelon,1,$40.84,$0.00,$40.84,Physical Good
28/07/2024,20:26:41,Skull Panda,Skull Panda 3,1,$40.85,$0.00,$40.85,Physical Good
28/07/2024,19:24:20,None,Baby Dragon,1,$38.62,-$25.00,$13.62,Physical Good
28/07/2024,19:24:20,Piggy,Piggy Happy,1,$38.61,-$25.00,$13.61,Physical Good
28/07/2024,18:30:13,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:32:57,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:32:57,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:21:51,Beverages,Soft Drink - Can,1,$2.72,$0.00,$2.72,Physical Good
28/07/2024,17:21:51,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:21:51,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:20:30,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:20:30,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:08:36,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:08:36,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,17:01:37,Couple,Couple - Banana,1,$49.92,$0.00,$49.92,Physical Good
28/07/2024,16:15:37,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,16:15:37,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,16:14:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,16:14:56,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,16:09:28,Kuromi,Kuromi Eclipse,1,$40.84,$0.00,$40.84,Physical Good
28/07/2024,16:09:28,None,Ducky - Bag,1,$36.31,$0.00,$36.31,Physical Good
28/07/2024,15:53:57,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,15:53:57,None,Gloss Varnish,1,$4.55,$0.00,$4.55,Service
28/07/2024,15:53:01,None,Captain US Doremon,1,$45.38,$0.00,$45.38,Physical Good
28/07/2024,15:53:01,None,Stitch - Dragon Hat,1,$40.85,$0.00,$40.85,Physical Good
28/07/2024,15:48:05,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,15:48:05,None,Gloss Varnish,1,$4.54,$0.00,$4.54,Service
28/07/2024,15:47:16,None,Lava,1,$31.82,$0.00,$31.82,Physical Good
28/07/2024,15:47:16,None,Dino Baby Dummy,1,$36.36,$0.00,$36.36,Physical Good
28/07/2024,15:42:18,None,Apple Baby,1,$31.77,$0.00,$31.77,Physical Good
28/07/2024,15:42:18,None,Cat Lady - Bottle,1,$36.30,$0.00,$36.30,Physical Good
28/07/2024,15:40:22,None,Luffy,1,$40.84,$0.00,$40.84,Physical Good
