transaction_date,transaction_time,product_type,product_category,product_name,product_price,discount_amount,sales_amount,quantity
2025-01-02,18:35:49.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-02,18:35:49.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-02,18:35:49.0000000,Physical Good,Beverages,Drink - WATER,2.7200000000000002,0,2.7200000000000002,1
2025-01-02,18:35:22.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-02,18:35:22.0000000,Physical Good,Beverages,Drink - COKE ZERO,2.7200000000000002,0,2.7200000000000002,1
2025-01-02,18:33:15.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-02,18:00:40.0000000,Physical Good,Figurines,Dino Disco ,40.909999999999997,0,40.909999999999997,1
2025-01-02,17:57:47.0000000,Physical Good,Figurines,Capybara on Donut ,45.380000000000003,0,45.380000000000003,1
2025-01-02,16:47:49.0000000,Physical Good,Figurines,Capybara Turtle Hat ,45.380000000000003,0,45.380000000000003,1
2025-01-02,16:47:49.0000000,Physical Good,Figurines,Astro Bear ,45.380000000000003,0,45.380000000000003,1
2025-01-02,16:41:36.0000000,Service,Service,Gloss Varnish,4.5499999999999998,0,4.5499999999999998,1
2025-01-02,16:05:39.0000000,Service,Service,Gloss Varnish,4.54,0,4.54,1
2025-01-02,16:05:39.0000000,Service,Service,Gloss Varnish,4.5499999999999998,0,4.5499999999999998,1
2025-01-02,16:01:49.0000000,Physical Good,Figurines,Teddy with Tote ,36.310000000000002,0,36.310000000000002,1
2025-01-02,16:01:26.0000000,Physical Good,Figurines,Kuro with Bowtie,40.840000000000003,0,40.840000000000003,1
2025-01-02,15:42:57.0000000,Physical Good,Figurines,Dino ,36.299999999999997,0,36.299999999999997,1
2025-01-02,15:42:57.0000000,Physical Good,Figurines,Mel  ,36.310000000000002,0,36.310000000000002,1
2025-01-02,15:35:25.0000000,Physical Good,Figurines,SP the Witch ,45.450000000000003,0,45.450000000000003,1
2025-01-02,15:35:25.0000000,Physical Good,Figurines,Larva Red ,31.82,0,31.82,1
2025-01-02,15:21:33.0000000,Service,Service,Gloss Varnish,4.5499999999999998,0,4.5499999999999998,1
2025-01-02,15:19:23.0000000,Cash Payment,Service,Gloss Varnish,5,-5,0,1
2025-01-02,15:17:48.0000000,Physical Good,Figurines,Astronaut ,36.310000000000002,0,36.310000000000002,1
2025-01-02,15:06:33.0000000,Physical Good,Figurines,Mel with Bowtie ,40.850000000000001,0,40.850000000000001,1
2025-01-02,15:06:33.0000000,Physical Good,Figurines,Capybara on Crocodile ,45.380000000000003,0,45.380000000000003,1
2025-01-02,15:04:41.0000000,Physical Good,Figurines,Capybara Lucky Wish ,45.380000000000003,0,45.380000000000003,1
2025-01-02,15:04:41.0000000,Physical Good,Figurines,Teddy with Tote ,36.310000000000002,0,36.310000000000002,1
2025-01-02,14:53:58.0000000,Physical Good,Figurines,Teddy with Tote ,109.09,0,109.09,3
2025-01-02,14:45:20.0000000,Physical Good,Beverages,Drink - WATER,2.73,0,2.73,1
2025-01-02,14:44:28.0000000,Physical Good,Figurines,BuBu LaLa ,45.450000000000003,0,45.450000000000003,1
2025-01-02,14:44:28.0000000,Physical Good,Figurines,Bubu Lala Flower B ,40.909999999999997,0,40.909999999999997,1
2025-01-02,14:37:38.0000000,Physical Good,Beverages,Drink - Red Bull,4.7699999999999996,-2.5,2.27,1
2025-01-02,14:22:20.0000000,Physical Good,Figurines,Capybara TV ,45.380000000000003,0,45.380000000000003,1
2025-01-02,14:21:57.0000000,Physical Good,Figurines,Larva Red ,31.77,0,31.77,1
