transaction_date,transaction_time,product_type,product_category,product_name,year_dp,weekday_dn,month_dp,week_of_month,opening_hour,closing_hour,time_of_day,total_sales,total_quantity,total_transactions,avg_order_revenue,hours_since_opening,hours_until_closing
2024-04-08,22:00:00.0000000,Physical Good,Figurines,Apple Baby,2024,Monday,4,2,11:00:00.0000000,22:00:00.0000000,Outside Hours,95.450000000000003,3,1,95.450000000000003,,
2024-04-09,21:00:00.0000000,Physical Good,Refund,Apple Baby,2024,Tuesday,4,2,11:00:00.0000000,22:00:00.0000000,Evening,-95.450000000000003,-3,1,-95.450000000000003,,1
2024-04-14,11:00:00.0000000,Physical Good,Figurines,Cat - Milk Bottle,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,0,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Baby Dragon,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Bear Brick - OG,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.629999999999999,1,1,28.629999999999999,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Couple - Cat,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,35,1,1,35,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Dino Baby,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,22.91,1,1,22.91,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Kuromi - Clown,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Ltd Ed - Prism Bear,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,31.82,1,1,31.82,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Peach Baby,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,22.27,1,1,22.27,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Piggy Birthday,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,25.449999999999999,1,1,25.449999999999999,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Piggy Bottle,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,25.449999999999999,1,1,25.449999999999999,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Pooh The Pot,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,47.729999999999997,3,1,47.729999999999997,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Sanrio Holder,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,31.82,2,1,31.82,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Skull Panda 3,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,2,
2024-04-14,13:00:00.0000000,Physical Good,Figurines,Skull Panda 5,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.629999999999999,1,1,28.629999999999999,2,
2024-04-14,14:00:00.0000000,Physical Good,Figurines,Angel - Small,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,63.640000000000001,2,2,31.82,3,
2024-04-14,14:00:00.0000000,Physical Good,Figurines,Bear - Astro,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,3,
2024-04-14,14:00:00.0000000,Physical Good,Figurines,Bear Brick - Rabbit,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,3,
2024-04-14,14:00:00.0000000,Physical Good,Figurines,Bear Brick - Rainbow,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,28.640000000000001,1,1,28.640000000000001,3,
2024-04-14,14:00:00.0000000,Physical Good,Figurines,Couple - Cat,2024,Sunday,4,2,11:00:00.0000000,22:00:00.0000000,Day,35,1,1,35,3,
